ID,X,Y,Z,Label,Placed
HAO:0000000,36.45,-6.85,9.35, anatomical entity,True
HAO:0000001,-31.06934,31.02,-7.69934, ventral mesofurco-profurcal muscle,False
HAO:0000002,36.45,-6.85,9.35, A1 flap,True
HAO:0000003,-28.94802,31.02,-5.578019, anatomical structure,False
HAO:0000004,-27.88736,31.02,-4.517359, portion of organism substance,False
HAO:0000005,-26.8267,31.02,-3.456699, anatomical space,False
HAO:0000006,-25.76604,31.02,-2.396039, material anatomical entity,False
HAO:0000007,-24.70538,31.02,-1.335379, immaterial anatomical entity,False
HAO:0000008,-23.64472,31.02,-0.274719, anatomical line,False
HAO:0000009,-22.58406,31.02,0.785942, anatomical point,False
HAO:0000010,-21.5234,31.02,1.846602, anatomical surface,False
HAO:0000011,-20.46274,31.02,2.907262, anatomical system,False
HAO:0000012,-19.40208,31.02,3.967922, multi-cellular organism,False
HAO:0000013,-18.34142,31.02,5.028582, cell,False
HAO:0000014,-17.28076,31.02,6.089242, cell component,False
HAO:0000015,-16.2201,31.02,7.149903, abdomen,False
HAO:0000016,-15.15944,31.02,8.210563, abdominal segment,False
HAO:0000017,-14.09878,31.02,9.271223, abdominal segment 1,False
HAO:0000018,-13.03812,31.02,10.33188, abdominal segment 10,False
HAO:0000019,-11.97746,31.02,11.39254, compound organ component,False
HAO:0000020,-10.9168,31.02,12.4532, abdominal segment 2,False
HAO:0000021,-9.856136,31.02,13.51386, simple organ,False
HAO:0000022,-8.795476,31.02,14.57452, abdominal segment 3,False
HAO:0000023,-7.734816,31.02,15.63518, abdominal segment 4,False
HAO:0000024,-6.674156,31.02,16.69584, compound organ,False
HAO:0000025,-5.613496,31.02,17.7565, abdominal segment 5,False
HAO:0000026,-4.552836,31.02,18.81716, abdominal segment 6,False
HAO:0000027,-3.492175,31.02,19.87782, male organism,False
HAO:0000028,-2.431515,31.02,20.93848, female organism,False
HAO:0000029,-1.370855,31.02,21.99915, hermaphroditic organism,False
HAO:0000030,-32.13,29.52,-8.76, asexual organism,False
HAO:0000031,-31.06934,29.52,-7.69934, abdominal segment 7,False
HAO:0000032,-30.00868,29.52,-6.63868, organism subdivision,False
HAO:0000033,-28.94802,29.52,-5.578019, abdominal segment 8,False
HAO:0000034,-27.88736,29.52,-4.517359, abdominal segment 9,False
HAO:0000035,-26.8267,29.52,-3.456699, abdominal sternum 2,False
HAO:0000036,-25.76604,29.52,-2.396039, abdominal sternum 3,False
HAO:0000037,-24.70538,29.52,-1.335379, abdominal sternum 4,False
HAO:0000038,-23.64472,29.52,-0.274719, abdominal sternum 5,False
HAO:0000039,-22.58406,29.52,0.785942, abdominal sternum 6,False
