ID, X, Y, Z, Description
HAO:0000000, -36.600000, 28.750000, -13.500000, anatomical entity
HAO:0000001, -35.539340, 28.750000, -12.439340, ventral mesofurco-profurcal muscle
HAO:0000002, -34.478680, 28.750000, -11.378680, A1 flap
HAO:0000003, -33.418019, 28.750000, -10.318019, anatomical structure
HAO:0000004, -32.357359, 28.750000, -9.257359, portion of organism substance
HAO:0000005, -31.296699, 28.750000, -8.196699, anatomical space
HAO:0000006, -30.236039, 28.750000, -7.136039, material anatomical entity
HAO:0000007, -29.175379, 28.750000, -6.075379, immaterial anatomical entity
HAO:0000008, -28.114719, 28.750000, -5.014719, anatomical line
HAO:0000009, -27.054058, 28.750000, -3.954058, anatomical point
HAO:0000010, -25.993398, 28.750000, -2.893398, anatomical surface
HAO:0000011, -24.932738, 28.750000, -1.832738, anatomical system
HAO:0000012, -23.872078, 28.750000, -0.772078, multi-cellular organism
HAO:0000013, -22.811418, 28.750000, 0.288582, cell
HAO:0000014, -21.750758, 28.750000, 1.349242, cell component
HAO:0000015, -20.690097, 28.750000, 2.409903, abdomen
HAO:0000016, -19.629437, 28.750000, 3.470563, abdominal segment
HAO:0000017, -18.568777, 28.750000, 4.531223, abdominal segment 1
HAO:0000018, -17.508117, 28.750000, 5.591883, abdominal segment 10
HAO:0000019, -16.447457, 28.750000, 6.652543, compound organ component
HAO:0000020, -15.386797, 28.750000, 7.713203, abdominal segment 2
HAO:0000021, -14.326136, 28.750000, 8.773864, simple organ
HAO:0000022, -13.265476, 28.750000, 9.834524, abdominal segment 3
HAO:0000023, -12.204816, 28.750000, 10.895184, abdominal segment 4
HAO:0000024, -11.144156, 28.750000, 11.955844, compound organ
HAO:0000025, -10.083496, 28.750000, 13.016504, abdominal segment 5
HAO:0000026, -9.022836, 28.750000, 14.077164, abdominal segment 6
HAO:0000027, -7.962175, 28.750000, 15.137825, male organism
HAO:0000028, -6.901515, 28.750000, 16.198485, female organism
HAO:0000029, -5.840855, 28.750000, 17.259145, hermaphroditic organism
HAO:0000030, -36.600000, 27.250000, -13.500000, asexual organism
