ID, X, Y, Z, Description
HAO:0000000, -32.130000, 31.020000, -8.760000, anatomical entity
HAO:0000001, -31.069340, 31.020000, -7.699340, ventral mesofurco-profurcal muscle
HAO:0000002, -30.008680, 31.020000, -6.638680, A1 flap
HAO:0000003, -28.948019, 31.020000, -5.578019, anatomical structure
HAO:0000004, -27.887359, 31.020000, -4.517359, portion of organism substance
HAO:0000005, -26.826699, 31.020000, -3.456699, anatomical space
HAO:0000006, -25.766039, 31.020000, -2.396039, material anatomical entity
HAO:0000007, -24.705379, 31.020000, -1.335379, immaterial anatomical entity
HAO:0000008, -23.644719, 31.020000, -0.274719, anatomical line
HAO:0000009, -22.584058, 31.020000, 0.785942, anatomical point
HAO:0000010, -21.523398, 31.020000, 1.846602, anatomical surface
HAO:0000011, -20.462738, 31.020000, 2.907262, anatomical system
HAO:0000012, -19.402078, 31.020000, 3.967922, multi-cellular organism
HAO:0000013, -18.341418, 31.020000, 5.028582, cell
HAO:0000014, -17.280758, 31.020000, 6.089242, cell component
HAO:0000015, -16.220097, 31.020000, 7.149903, abdomen
HAO:0000016, -15.159437, 31.020000, 8.210563, abdominal segment
HAO:0000017, -14.098777, 31.020000, 9.271223, abdominal segment 1
HAO:0000018, -13.038117, 31.020000, 10.331883, abdominal segment 10
HAO:0000019, -11.977457, 31.020000, 11.392543, compound organ component
HAO:0000020, -10.916797, 31.020000, 12.453203, abdominal segment 2
HAO:0000021, -9.856136, 31.020000, 13.513864, simple organ
HAO:0000022, -8.795476, 31.020000, 14.574524, abdominal segment 3
HAO:0000023, -7.734816, 31.020000, 15.635184, abdominal segment 4
HAO:0000024, -6.674156, 31.020000, 16.695844, compound organ
HAO:0000025, -5.613496, 31.020000, 17.756504, abdominal segment 5
HAO:0000026, -4.552836, 31.020000, 18.817164, abdominal segment 6
HAO:0000027, -3.492175, 31.020000, 19.877825, male organism
HAO:0000028, -2.431515, 31.020000, 20.938485, female organism
HAO:0000029, -1.370855, 31.020000, 21.999145, hermaphroditic organism
HAO:0000030, -32.130000, 29.520000, -8.760000, asexual organism
HAO:0000031, -31.069340, 29.520000, -7.699340, abdominal segment 7
HAO:0000032, -30.008680, 29.520000, -6.638680, organism subdivision
HAO:0000033, -28.948019, 29.520000, -5.578019, abdominal segment 8
HAO:0000034, -27.887359, 29.520000, -4.517359, abdominal segment 9
HAO:0000035, -26.826699, 29.520000, -3.456699, abdominal sternum 2
HAO:0000036, -25.766039, 29.520000, -2.396039, abdominal sternum 3
HAO:0000037, -24.705379, 29.520000, -1.335379, abdominal sternum 4
HAO:0000038, -23.644719, 29.520000, -0.274719, abdominal sternum 5
HAO:0000039, -22.584058, 29.520000, 0.785942, abdominal sternum 6
HAO:0000040, -21.523398, 29.520000, 1.846602, acellular anatomical structure
HAO:0000041, -20.462738, 29.520000, 2.907262, anatomical cluster
HAO:0000042, -19.402078, 29.520000, 3.967922, extraembryonic structure
HAO:0000043, -18.341418, 29.520000, 5.028582, portion of tissue
HAO:0000044, -17.280758, 29.520000, 6.089242, abdominal sternum 7
HAO:0000045, -16.220097, 29.520000, 7.149903, sequential hermaphroditic organism
HAO:0000046, -15.159437, 29.520000, 8.210563, synchronous hermaphroditic organism
HAO:0000047, -14.098777, 29.520000, 9.271223, abdominal sternum 9
HAO:0000048, -13.038117, 29.520000, 10.331883, gonochoristic organism
HAO:0000049, -11.977457, 29.520000, 11.392543, protandrous hermaphroditic organism
