ID,X,Y,Z,Description
HAO:0000000,10,10,10,anatomical entity
HAO:0000001,20,10,10,ventral mesofurco-profurcal muscle
HAO:0000002,30,10,10,A1 flap
HAO:0000003,40,10,10,anatomical structure
HAO:0000004,50,10,10,portion of organism substance
HAO:0000005,60,10,10,anatomical space
HAO:0000006,70,10,10,material anatomical entity
HAO:0000007,80,10,10,immaterial anatomical entity
HAO:0000008,90,10,10,anatomical line
HAO:0000009,100,10,10,anatomical point
HAO:0000010,110,10,10,anatomical surface
HAO:0000011,120,10,10,anatomical system
HAO:0000012,130,10,10,multi-cellular organism
HAO:0000013,10,20,10,cell
HAO:0000014,20,20,10,cell component
HAO:0000015,30,20,10,abdomen
HAO:0000016,40,20,10,abdominal segment
HAO:0000017,50,20,10,abdominal segment 1
HAO:0000018,60,20,10,abdominal segment 10
HAO:0000019,70,20,10,compound organ component
HAO:0000020,80,20,10,abdominal segment 2
HAO:0000021,90,20,10,simple organ
HAO:0000022,100,20,10,abdominal segment 3
HAO:0000023,110,20,10,abdominal segment 4
HAO:0000024,120,20,10,compound organ
HAO:0000025,130,20,10,abdominal segment 5
HAO:0000026,10,30,10,abdominal segment 6
HAO:0000027,20,30,10,male organism
HAO:0000028,30,30,10,female organism
HAO:0000029,40,30,10,hermaphroditic organism
HAO:0000030,50,30,10,asexual organism
HAO:0000031,60,30,10,abdominal segment 7
HAO:0000032,70,30,10,organism subdivision
HAO:0000033,80,30,10,abdominal segment 8
HAO:0000034,90,30,10,abdominal segment 9
HAO:0000035,100,30,10,abdominal sternum 2
HAO:0000036,110,30,10,abdominal sternum 3
HAO:0000037,120,30,10,abdominal sternum 4
HAO:0000038,130,30,10,abdominal sternum 5
HAO:0000039,10,40,10,abdominal sternum 6
HAO:0000040,20,40,10,acellular anatomical structure
HAO:0000041,30,40,10,anatomical cluster
HAO:0000042,40,40,10,extraembryonic structure
HAO:0000043,50,40,10,portion of tissue
HAO:0000044,60,40,10,abdominal sternum 7
HAO:0000045,70,40,10,sequential hermaphroditic organism
HAO:0000046,80,40,10,synchronous hermaphroditic organism
HAO:0000047,90,40,10,abdominal sternum 9
HAO:0000048,100,40,10,gonochoristic organism
HAO:0000049,110,40,10,protandrous hermaphroditic organism
HAO:0000050,120,40,10,protogynous hermaphroditic organism
HAO:0000051,130,40,10,abdominal tergum 1
HAO:0000052,10,50,10,abdominal tergum 10
HAO:0000053,20,50,10,abdominal tergum 2
HAO:0000054,30,50,10,anatomical group
HAO:0000055,40,50,10,multi-tissue structure
HAO:0000056,50,50,10,abdominal tergum 3
HAO:0000057,60,50,10,abdominal tergum 4
HAO:0000058,70,50,10,abdominal tergum 5
HAO:0000059,80,50,10,abdominal tergum 6
HAO:0000060,90,50,10,abdominal tergum 7
HAO:0000061,100,50,10,abdominal tergum 8
HAO:0000062,110,50,10,cell space
HAO:0000063,120,50,10,portion of cell substance
HAO:0000064,130,50,10,single cell organism
HAO:0000065,10,60,10,basal lamina
HAO:0000066,20,60,10,epithelium
HAO:0000067,30,60,10,simple cuboidal epithelium
HAO:0000068,40,60,10,simple columnar epithelium
HAO:0000069,50,60,10,multilaminar epithelium
HAO:0000070,60,60,10,simple squamous epithelium
HAO:0000071,70,60,10,atypical epithelium
HAO:0000072,80,60,10,cavitated compound organ
HAO:0000073,90,60,10,unilaminar epithelium
HAO:0000074,100,60,10,solid compound organ
HAO:0000075,110,60,10,T9
HAO:0000076,120,60,10,abscissa
HAO:0000077,130,60,10,epithelial cell
HAO:0000078,10,70,10,accessory gland
HAO:0000079,20,70,10,accessory ventral condyle
HAO:0000080,30,70,10,acetabular carina
HAO:0000081,40,70,10,acetabular groove
HAO:0000082,50,70,10,acetabulum
HAO:0000083,60,70,10,acropleural apodeme
HAO:0000084,70,70,10,acropleural sulcus
HAO:0000085,80,70,10,acrosternite
HAO:0000086,90,70,10,aculea
HAO:0000087,100,70,10,adult
