ID,X,Y,Z,Description,,,,,,,,,,
HAO:0000000,1,1,1,anatomical entity,,,,,,,,10,10,10
HAO:0000001,2,1,1,ventral mesofurco-profurcal muscle,,,,,,,,20,10,10
HAO:0000002,3,1,1,A1 flap,,,,,,,,30,10,10
HAO:0000003,4,1,1,anatomical structure,,,,,,,,40,10,10
HAO:0000004,5,1,1,portion of organism substance,,,,,,,,50,10,10
HAO:0000005,6,1,1,anatomical space,,,,,,,,60,10,10
HAO:0000006,7,1,1,material anatomical entity,,,,,,,,70,10,10
HAO:0000007,8,1,1,immaterial anatomical entity,,,,,,,,80,10,10
HAO:0000008,9,1,1,anatomical line,,,,,,,,90,10,10
HAO:0000009,10,1,1,anatomical point,,,,,,,,100,10,10
HAO:0000010,11,1,1,anatomical surface,,,,,,,,110,10,10
HAO:0000011,12,1,1,anatomical system,,,,,,,,120,10,10
HAO:0000012,13,1,1,multi-cellular organism,,,,,,,,130,10,10
HAO:0000013,1,2,1,cell,,,,,,,,10,20,10
HAO:0000014,2,2,1,cell component,,,,,,,,20,20,10
HAO:0000015,3,2,1,abdomen,,,,,,,,30,20,10
HAO:0000016,4,2,1,abdominal segment,,,,,,,,40,20,10
HAO:0000017,5,2,1,abdominal segment 1,,,,,,,,50,20,10
HAO:0000018,6,2,1,abdominal segment 10,,,,,,,,60,20,10
HAO:0000019,7,2,1,compound organ component,,,,,,,,70,20,10
HAO:0000020,8,2,1,abdominal segment 2,,,,,,,,80,20,10
HAO:0000021,9,2,1,simple organ,,,,,,,,90,20,10
HAO:0000022,10,2,1,abdominal segment 3,,,,,,,,100,20,10
HAO:0000023,11,2,1,abdominal segment 4,,,,,,,,110,20,10
HAO:0000024,12,2,1,compound organ,,,,,,,,120,20,10
HAO:0000025,13,2,1,abdominal segment 5,,,,,,,,130,20,10
HAO:0000026,1,3,1,abdominal segment 6,,,,,,,,10,30,10
HAO:0000027,2,3,1,male organism,,,,,,,,20,30,10
HAO:0000028,3,3,1,female organism,,,,,,,,30,30,10
HAO:0000029,4,3,1,hermaphroditic organism,,,,,,,,40,30,10
HAO:0000030,5,3,1,asexual organism,,,,,,,,50,30,10
HAO:0000031,6,3,1,abdominal segment 7,,,,,,,,60,30,10
HAO:0000032,7,3,1,organism subdivision,,,,,,,,70,30,10
HAO:0000033,8,3,1,abdominal segment 8,,,,,,,,80,30,10
HAO:0000034,9,3,1,abdominal segment 9,,,,,,,,90,30,10
HAO:0000035,10,3,1,abdominal sternum 2,,,,,,,,100,30,10
HAO:0000036,11,3,1,abdominal sternum 3,,,,,,,,110,30,10
HAO:0000037,12,3,1,abdominal sternum 4,,,,,,,,120,30,10
HAO:0000038,13,3,1,abdominal sternum 5,,,,,,,,130,30,10
HAO:0000039,1,4,1,abdominal sternum 6,,,,,,,,10,40,10
HAO:0000040,2,4,1,acellular anatomical structure,,,,,,,,20,40,10
HAO:0000041,3,4,1,anatomical cluster,,,,,,,,30,40,10
HAO:0000042,4,4,1,extraembryonic structure,,,,,,,,40,40,10
HAO:0000043,5,4,1,portion of tissue,,,,,,,,50,40,10
HAO:0000044,6,4,1,abdominal sternum 7,,,,,,,,60,40,10
HAO:0000045,7,4,1,sequential hermaphroditic organism,,,,,,,,70,40,10
HAO:0000046,8,4,1,synchronous hermaphroditic organism,,,,,,,,80,40,10
HAO:0000047,9,4,1,abdominal sternum 9,,,,,,,,90,40,10
HAO:0000048,10,4,1,gonochoristic organism,,,,,,,,100,40,10
HAO:0000049,11,4,1,protandrous hermaphroditic organism,,,,,,,,110,40,10
HAO:0000050,12,4,1,protogynous hermaphroditic organism,,,,,,,,120,40,10
HAO:0000051,13,4,1,abdominal tergum 1,,,,,,,,130,40,10
HAO:0000052,1,5,1,abdominal tergum 10,,,,,,,,10,50,10
HAO:0000053,2,5,1,abdominal tergum 2,,,,,,,,20,50,10
HAO:0000054,3,5,1,anatomical group,,,,,,,,30,50,10
HAO:0000055,4,5,1,multi-tissue structure,,,,,,,,40,50,10
HAO:0000056,5,5,1,abdominal tergum 3,,,,,,,,50,50,10
HAO:0000057,6,5,1,abdominal tergum 4,,,,,,,,60,50,10
HAO:0000058,7,5,1,abdominal tergum 5,,,,,,,,70,50,10
