X, Y, Z, ID, Description
HAO:0000000,0.5,0.5,0.5,anatomical entity
HAO:0000001,1.0,0.5,0.5,ventral mesofurco-profurcal muscle
HAO:0000002,1.5,0.5,0.5,A1 flap
HAO:0000003,2.0,0.5,0.5,anatomical structure
HAO:0000004,2.5,0.5,0.5,portion of organism substance
HAO:0000005,3.0,0.5,0.5,anatomical space
HAO:0000006,3.5,0.5,0.5,material anatomical entity
HAO:0000007,4.0,0.5,0.5,immaterial anatomical entity
HAO:0000008,4.5,0.5,0.5,anatomical line
HAO:0000009,5.0,0.5,0.5,anatomical point
HAO:0000010,5.5,0.5,0.5,anatomical surface
HAO:0000011,6.0,0.5,0.5,anatomical system
HAO:0000012,6.5,0.5,0.5,multi-cellular organism
HAO:0000013,0.5,1.0,0.5,cell
HAO:0000014,1.0,1.0,0.5,cell component
HAO:0000015,1.5,1.0,0.5,abdomen
HAO:0000016,2.0,1.0,0.5,abdominal segment
HAO:0000017,2.5,1.0,0.5,abdominal segment 1
HAO:0000018,3.0,1.0,0.5,abdominal segment 10
HAO:0000019,3.5,1.0,0.5,compound organ component
HAO:0000020,4.0,1.0,0.5,abdominal segment 2
HAO:0000021,4.5,1.0,0.5,simple organ
HAO:0000022,5.0,1.0,0.5,abdominal segment 3
HAO:0000023,5.5,1.0,0.5,abdominal segment 4
HAO:0000024,6.0,1.0,0.5,compound organ
HAO:0000025,6.5,1.0,0.5,abdominal segment 5
HAO:0000026,0.5,1.5,0.5,abdominal segment 6
HAO:0000027,1.0,1.5,0.5,male organism
HAO:0000028,1.5,1.5,0.5,female organism
HAO:0000029,2.0,1.5,0.5,hermaphroditic organism
HAO:0000030,2.5,1.5,0.5,asexual organism
HAO:0000031,3.0,1.5,0.5,abdominal segment 7
HAO:0000032,3.5,1.5,0.5,organism subdivision
HAO:0000033,4.0,1.5,0.5,abdominal segment 8
HAO:0000034,4.5,1.5,0.5,abdominal segment 9
HAO:0000035,5.0,1.5,0.5,abdominal sternum 2
HAO:0000036,5.5,1.5,0.5,abdominal sternum 3
HAO:0000037,6.0,1.5,0.5,abdominal sternum 4
HAO:0000038,6.5,1.5,0.5,abdominal sternum 5
HAO:0000039,0.5,2.0,0.5,abdominal sternum 6
HAO:0000040,1.0,2.0,0.5,acellular anatomical structure
HAO:0000041,1.5,2.0,0.5,anatomical cluster
HAO:0000042,2.0,2.0,0.5,extraembryonic structure
HAO:0000043,2.5,2.0,0.5,portion of tissue
