X, Y, Z, ID, Description
HAO:0000000,-36.6,24.75,-88.5,anatomical entity
HAO:0000001,-35.5075,24.75,-87.4075,ventral mesofurco-profurcal muscle
HAO:0000002,-34.415,24.75,-86.315,A1 flap
HAO:0000003,-33.3225,24.75,-85.2225,anatomical structure
HAO:0000004,-32.23,24.75,-84.13,portion of organism substance
HAO:0000005,-31.1375,24.75,-83.0375,anatomical space
HAO:0000006,-30.045,24.75,-81.945,material anatomical entity
HAO:0000007,-28.9525,24.75,-80.8525,immaterial anatomical entity
HAO:0000008,-27.86,24.75,-79.76,anatomical line
HAO:0000009,-26.7675,24.75,-78.6675,anatomical point
HAO:0000010,-25.675,24.75,-77.575,anatomical surface
HAO:0000011,-24.5825,24.75,-76.4825,anatomical system
HAO:0000012,-23.49,24.75,-75.39,multi-cellular organism
HAO:0000013,-22.3975,24.75,-74.2975,cell
HAO:0000014,-21.305,24.75,-73.205,cell component
HAO:0000015,-20.2125,24.75,-72.1125,abdomen
HAO:0000016,-19.12,24.75,-71.02,abdominal segment
HAO:0000017,-18.0275,24.75,-69.9275,abdominal segment 1
HAO:0000018,-16.935,24.75,-68.835,abdominal segment 10
HAO:0000019,-15.8425,24.75,-67.7425,compound organ component
HAO:0000020,-14.75,24.75,-66.65,abdominal segment 2
HAO:0000021,-13.6575,24.75,-65.5575,simple organ
HAO:0000022,-12.565,24.75,-64.465,abdominal segment 3
HAO:0000023,-11.4725,24.75,-63.3725,abdominal segment 4
HAO:0000024,-10.38,24.75,-62.28,compound organ
HAO:0000025,-9.2875,24.75,-61.1875,abdominal segment 5
HAO:0000026,-8.195,24.75,-60.095,abdominal segment 6
HAO:0000027,-7.1025,24.75,-59.0025,male organism
HAO:0000028,-6.01,24.75,-57.91,female organism
HAO:0000029,-4.9175,24.75,-56.8175,hermaphroditic organism
HAO:0000030,-36.6,23.205,-88.5,asexual organism
HAO:0000031,-35.5075,23.205,-87.4075,abdominal segment 7
HAO:0000032,-34.415,23.205,-86.315,organism subdivision
HAO:0000033,-33.3225,23.205,-85.2225,abdominal segment 8
HAO:0000034,-32.23,23.205,-84.13,abdominal segment 9
HAO:0000035,-31.1375,23.205,-83.0375,abdominal sternum 2
HAO:0000036,-30.045,23.205,-81.945,abdominal sternum 3
HAO:0000037,-28.9525,23.205,-80.8525,abdominal sternum 4
HAO:0000038,-27.86,23.205,-79.76,abdominal sternum 5
HAO:0000039,-26.7675,23.205,-78.6675,abdominal sternum 6
HAO:0000040,-25.675,23.205,-77.575,acellular anatomical structure
HAO:0000041,-24.5825,23.205,-76.4825,anatomical cluster
HAO:0000042,-23.49,23.205,-75.39,extraembryonic structure
HAO:0000043,-22.3975,23.205,-74.2975,portion of tissue
HAO:0000044,-21.305,23.205,-73.205,abdominal sternum 7
HAO:0000045,-20.2125,23.205,-72.1125,sequential hermaphroditic organism
HAO:0000046,-19.12,23.205,-71.02,synchronous hermaphroditic organism
HAO:0000047,-18.0275,23.205,-69.9275,abdominal sternum 9
HAO:0000048,-16.935,23.205,-68.835,gonochoristic organism
HAO:0000049,-15.8425,23.205,-67.7425,protandrous hermaphroditic organism
HAO:0000050,-14.75,23.205,-66.65,protogynous hermaphroditic organism
HAO:0000051,-13.6575,23.205,-65.5575,abdominal tergum 1
HAO:0000052,-12.565,23.205,-64.465,abdominal tergum 10
HAO:0000053,-11.4725,23.205,-63.3725,abdominal tergum 2
HAO:0000054,-10.38,23.205,-62.28,anatomical group
HAO:0000055,-9.2875,23.205,-61.1875,multi-tissue structure
HAO:0000056,-8.195,23.205,-60.095,abdominal tergum 3
HAO:0000057,-7.1025,23.205,-59.0025,abdominal tergum 4
HAO:0000058,-6.01,23.205,-57.91,abdominal tergum 5
HAO:0000059,-4.9175,23.205,-56.8175,abdominal tergum 6
HAO:0000060,-36.6,21.66,-88.5,abdominal tergum 7
HAO:0000061,-35.5075,21.66,-87.4075,abdominal tergum 8
HAO:0000062,-34.415,21.66,-86.315,cell space
HAO:0000063,-33.3225,21.66,-85.2225,portion of cell substance
HAO:0000064,-32.23,21.66,-84.13,single cell organism
HAO:0000065,-31.1375,21.66,-83.0375,basal lamina
HAO:0000066,-30.045,21.66,-81.945,epithelium
HAO:0000067,-28.9525,21.66,-80.8525,simple cuboidal epithelium
HAO:0000068,-27.86,21.66,-79.76,simple columnar epithelium
HAO:0000069,-26.7675,21.66,-78.6675,multilaminar epithelium
HAO:0000070,-25.675,21.66,-77.575,simple squamous epithelium
HAO:0000071,-24.5825,21.66,-76.4825,atypical epithelium
HAO:0000072,-23.49,21.66,-75.39,cavitated compound organ
