ID,X,Y,Z,Description
HAO:0002448,59.57378387,-58.19747925,167.1641388,triangular mesopleural furrow
HAO:0002447,49.57378387,-58.19747925,167.1641388,campaniform stipital sensillum
HAO:0002446,39.57378387,-58.19747925,167.1641388,trichoid sensillum of the glossa
HAO:0002445,29.57378578,-58.19747925,167.1641388,lateral galeal sclerite
HAO:0002444,149.5737915,-68.19747925,167.1641388,proximal lobe of lateral flange of the principal c
HAO:0002443,139.5737915,-68.19747925,167.1641388,distal lobe of the lateral flange of the principal
HAO:0002442,129.5737915,-68.19747925,167.1641388,lateral flange of the principal carina of the stip
HAO:0002441,119.5737839,-68.19747925,167.1641388,Distal mesal projection of cardo
HAO:0002440,109.5737839,-68.19747925,167.1641388,Distal lateral projection of cardo
HAO:0002439,99.57378387,-68.19747925,167.1641388,cranial condyle of cardo
HAO:0002438,89.57378387,-68.19747925,167.1641388,latero-proximal stipital process
HAO:0002437,79.57378387,-68.19747925,167.1641388,postpalpal ventral premental area
HAO:0002436,69.57378387,-68.19747925,167.1641388,prepalpal ventral premental area
HAO:0002435,59.57378387,-68.19747925,167.1641388,dorsomedian area of the mesoscutellar-axillar comp
HAO:0002434,49.57378387,-68.19747925,167.1641388,alutaceous
HAO:0002433,39.57378387,-68.19747925,167.1641388,coriaceous
HAO:0002432,29.57378578,-68.19747925,167.1641388,transverse carina of the metasomal depression
HAO:0002431,149.5737915,-78.19747925,167.1641388,lateral mesosoma length
HAO:0002430,139.5737915,-78.19747925,167.1641388,scute
HAO:0002429,129.5737915,-78.19747925,167.1641388,postpetiole height
HAO:0002428,119.5737839,-78.19747925,167.1641388,stigmal vein
HAO:0002427,109.5737839,-78.19747925,167.1641388,apical setae of T3
HAO:0002426,99.57378387,-78.19747925,167.1641388,anterior ocellar-orbital line
HAO:0002425,89.57378387,-78.19747925,167.1641388,axillular spine
HAO:0002424,79.57378387,-78.19747925,167.1641388,twelfth flagellomere
HAO:0002423,69.57378387,-78.19747925,167.1641388,specillum
HAO:0002422,59.57378387,-78.19747925,167.1641388,odontoid process
HAO:0002421,49.57378387,-78.19747925,167.1641388,posterodorsal metapleural area
HAO:0002420,39.57378387,-78.19747925,167.1641388,metapecto-propodeal conjunctiva
HAO:0002419,29.57378578,-78.19747925,167.1641388,sensillar plate of the aedeagus
HAO:0002418,149.5737915,-88.19747925,167.1641388,posteromedian process of the mesoscutellum
HAO:0002417,139.5737915,-88.19747925,167.1641388,resilin rich articulation of the ramus
HAO:0002416,655.1005859,202.1077271,167.1641083,atrium
HAO:0002415,119.5737839,-88.19747925,167.1641388,trachea
HAO:0002414,109.5737839,-88.19747925,167.1641388,distoventral submedian corner of the cupula
HAO:0002413,99.57378387,-88.19747925,167.1641388,body length
HAO:0002412,89.57378387,-88.19747925,167.1641388,buccal lobe
HAO:0002411,79.57378387,-88.19747925,167.1641388,petiole neck
HAO:0002410,69.57378387,-88.19747925,167.1641388,axillary muscle
HAO:0002409,59.57378387,-88.19747925,167.1641388,harpe length
HAO:0002408,49.57378387,-88.19747925,167.1641388,head length
HAO:0002407,39.57378387,-88.19747925,167.1641388,head height
HAO:0002406,29.57378578,-88.19747925,167.1641388,harpe width
HAO:0002405,149.5737915,-98.19747925,167.1641388,posterior mesoscutal width
HAO:0002404,139.5737915,-98.19747925,167.1641388,anterior mesoscutal width
HAO:0002403,129.5737915,-98.19747925,167.1641388,mesopleuron length
HAO:0002402,119.5737839,-98.19747925,167.1641388,sternaulus length
HAO:0002401,109.5737839,-98.19747925,167.1641388,ventrolateral invagination of the pronotum
HAO:0002400,99.57378387,-98.19747925,167.1641388,subtorular carina
HAO:0002399,89.57378387,-98.19747925,167.1641388,torulo-clypeal carina
HAO:0002398,79.57378387,-98.19747925,167.1641388,transverse frontal carina
HAO:0002397,69.57378387,-98.19747925,167.1641388,anteromedian projection of the metanoto-propodeo-m
HAO:0002396,59.57378387,-98.19747925,167.1641388,transverse line of the metanotum/propodeum
HAO:0002395,49.57378387,-98.19747925,167.1641388,proximoventral notch of cupula
HAO:0002394,39.57378387,-98.19747925,167.1641388,proximolateral projection of the cupula
HAO:0002393,29.57378578,-98.19747925,167.1641388,anterior discrimenal pit
HAO:0002392,149.5737915,-108.1974792,167.1641388,sensillar ring of harpe
HAO:0002391,139.5737915,-108.1974792,167.1641388,distal projection of the penisvalva
HAO:0002390,129.5737915,-108.1974792,167.1641388,submedial flange of occipital carina
HAO:0002389,119.5737839,-108.1974792,167.1641388,median flange of occipital carina
HAO:0002388,109.5737839,-108.1974792,167.1641388,median facial keel
HAO:0002387,99.57378387,-108.1974792,167.1641388,facial apodeme
HAO:0002386,89.57378387,-108.1974792,167.1641388,distal projection of the parossiculus
HAO:0002385,79.57378387,-108.1974792,167.1641388,postocellar carina
HAO:0002384,69.57378387,-108.1974792,167.1641388,facial process
HAO:0002383,59.57378387,-108.1974792,167.1641388,intertorular area
HAO:0002382,49.57378387,-108.1974792,167.1641388,ventrolateral setiferous patch
HAO:0002381,39.57378387,-108.1974792,167.1641388,ventromedian setiferous patch
HAO:0002380,29.57378578,-108.1974792,167.1641388,supraclypeal depression
HAO:0002379,149.5737915,-118.1974792,167.1641388,reticulate
HAO:0002378,139.5737915,-118.1974792,167.1641388,minimum width
HAO:0002377,129.5737915,-118.1974792,167.1641388,maximum width
HAO:0002376,119.5737839,-118.1974792,167.1641388,facial striae
HAO:0002375,109.5737839,-118.1974792,167.1641388,width
HAO:0002374,99.57378387,-118.1974792,167.1641388,pleural pit line
HAO:0002373,89.57378387,-118.1974792,167.1641388,malar striae
HAO:0002372,79.57378387,-118.1974792,167.1641388,dorsal petiolar profile contour line
HAO:0002371,69.57378387,-118.1974792,167.1641388,anterior profile of petiolar node contour line
HAO:0002370,59.57378387,-118.1974792,167.1641388,gena contour line
HAO:0002369,49.57378387,-118.1974792,167.1641388,contour line
HAO:0002368,39.57378387,-118.1974792,167.1641388,ventral head width
HAO:0002367,29.57378578,-118.1974792,167.1641388,torular head width
HAO:0002366,408.5690308,206.1546173,136.5693054,ventral head line
HAO:0002365,139.5737915,1.802520752,157.1641388,submedian area of clypeus
HAO:0002364,129.5737915,1.802520752,157.1641388,median carina of clypeus
HAO:0002363,119.5737839,1.802520752,157.1641388,mesopleural area of the mesonoto-metanoto-mesopect
HAO:0002362,109.5737839,1.802520752,157.1641388,metanotal depression
HAO:0002361,99.57378387,1.802520752,157.1641388,mesonoto-metanoto-mesopecto-metapecto-propodeal co
HAO:0002360,89.57378387,1.802520752,157.1641388,metapleural area of the mesonoto-metanoto-mesopect
HAO:0002359,79.57378387,1.802520752,157.1641388,postocular head width
HAO:0002358,69.57378387,1.802520752,157.1641388,postocular contour line
HAO:0002357,59.57378387,1.802520752,157.1641388,postocular area
HAO:0002356,49.57378387,1.802520752,157.1641388,portion of epithelium
HAO:0002355,39.57378387,1.802520752,157.1641388,caudal petiolar profile
HAO:0002354,29.57378578,1.802520752,157.1641388,dorsal petiolar profile
HAO:0002353,149.5737915,-8.197479248,157.1641388,anterior profile of petiolar node
HAO:0002352,139.5737915,-8.197479248,157.1641388,circumantennal carinae
HAO:0002351,129.5737915,-8.197479248,157.1641388,anterodorsal rim of petiole
HAO:0002350,119.5737839,-8.197479248,157.1641388,absolute cephalic size
HAO:0002349,109.5737839,-8.197479248,157.1641388,arithmetic mean
HAO:0002348,99.57378387,-8.197479248,157.1641388,spine length
HAO:0002347,89.57378387,-8.197479248,157.1641388,minimum spine distance
HAO:0002346,79.57378387,-8.197479248,157.1641388,scape length
HAO:0002345,69.57378387,-8.197479248,157.1641388,apical distance of pronotal spines
HAO:0002344,59.57378387,-8.197479248,157.1641388,pronotal spine
HAO:0002343,513.3474731,186.1293488,163.1965179,cranial scrobe of the pronotum
HAO:0002342,39.57378387,-8.197479248,157.1641388,postpetiole width
HAO:0002341,29.57378578,-8.197479248,157.1641388,postpetiole length
HAO:0002340,149.5737915,-18.19747925,157.1641388,postocular distance
HAO:0002339,139.5737915,-18.19747925,157.1641388,petiole width
HAO:0002338,129.5737915,-18.19747925,157.1641388,apical petiolar spine distance
HAO:0002337,119.5737839,-18.19747925,157.1641388,anterodorsal spine of the petiolar node
HAO:0002336,109.5737839,-18.19747925,157.1641388,length of petiolar node
HAO:0002335,99.57378387,-18.19747925,157.1641388,pronotum width
HAO:0002334,89.57378387,-18.19747925,157.1641388,Maximum spiracle distance of propodeum
HAO:0002333,79.57378387,-18.19747925,157.1641388,median clypeal notch depth
HAO:0002332,69.57378387,-18.19747925,157.1641388,median clypeal notch
HAO:0002331,59.57378387,-18.19747925,157.1641388,maximum cephalic length in median line
HAO:0002330,49.57378387,-18.19747925,157.1641388,setal angle
HAO:0002329,39.57378387,-18.19747925,157.1641388,angle
HAO:0002328,29.57378578,-18.19747925,157.1641388,maximum petiole height
HAO:0002327,149.5737915,-28.19747925,157.1641388,maximum height of petiolar node
HAO:0002326,139.5737915,-28.19747925,157.1641388,maximum diameter of the compound eye
HAO:0002325,129.5737915,-28.19747925,157.1641388,maximum cephalic length
HAO:0002324,119.5737839,-28.19747925,157.1641388,lateral carina of clypeus
HAO:0002323,109.5737839,-28.19747925,157.1641388,frontal carina line
HAO:0002322,99.57378387,-28.19747925,157.1641388,transverse torular line
HAO:0002321,89.57378387,-28.19747925,157.1641388,facial area of the scape
HAO:0002320,79.57378387,-28.19747925,157.1641388,external area of the scape
HAO:0002319,69.57378387,-28.19747925,157.1641388,apical spine distance
HAO:0002318,59.57378387,-28.19747925,157.1641388,caudal cylinder
HAO:0002317,49.57378387,-28.19747925,157.1641388,diagonal petiolar length
HAO:0002316,39.57378387,-28.19747925,157.1641388,distal clypeal line
HAO:0002315,29.57378578,-28.19747925,157.1641388,dorsal head width
HAO:0002314,149.5737915,-38.19747925,157.1641388,dorsal head width
HAO:0002313,139.5737915,-38.19747925,157.1641388,dorsal petiolar scrobe
HAO:0002312,129.5737915,-38.19747925,157.1641388,anterior setal pit
HAO:0002311,119.5737839,-38.19747925,157.1641388,anterior pronotal slope
HAO:0002310,109.5737839,-38.19747925,157.1641388,anterior petiolar length
HAO:0002309,99.57378387,-38.19747925,157.1641388,mesosoma length
HAO:0002308,89.57378387,-38.19747925,157.1641388,width
HAO:0002307,79.57378387,-38.19747925,157.1641388,appendage segment
HAO:0002306,69.57378387,-38.19747925,157.1641388,axillar crescent
HAO:0002305,59.57378387,-38.19747925,157.1641388,sensillum coeloconicum B
HAO:0002304,49.57378387,-38.19747925,157.1641388,sensillum coeloconicum A
HAO:0002303,39.57378387,-38.19747925,157.1641388,large disc sensilla
HAO:0002302,29.57378578,-38.19747925,157.1641388,large volcano sensilla
HAO:0002301,149.5737915,-48.19747925,157.1641388,lateral clypeal seta
HAO:0002300,139.5737915,-48.19747925,157.1641388,sensillum basiconicum
HAO:0002299,129.5737915,-48.19747925,157.1641388,sensillum trichodeum
HAO:0002298,119.5737839,-48.19747925,157.1641388,metapleuron
HAO:0002297,109.5737839,-48.19747925,157.1641388,mesopleural line
HAO:0002296,99.13745117,-48.24964905,157.1641388,pronoto-mesopectal suture
HAO:0002295,89.57378387,-48.19747925,157.1641388,pronoto-mesoscutal suture
HAO:0002294,79.57378387,-48.19747925,157.1641388,posteroventral corner of metapleuron
HAO:0002293,69.57378387,-48.19747925,157.1641388,window under lateral bar
HAO:0002292,59.57378387,-48.19747925,157.1641388,subcalyptral area
HAO:0002291,49.57378387,-48.19747925,157.1641388,posterior part of pronotal plate
HAO:0002290,39.57378387,-48.19747925,157.1641388,posterior lobe of scutellum
HAO:0002289,29.57378578,-48.19747925,157.1641388,ovipositor clip
HAO:0002288,149.5737915,-58.19747925,157.1641388,median septum of scutellum
HAO:0002287,139.5737915,-58.19747925,157.1641388,pronotal fovea
HAO:0002286,129.5737915,-58.19747925,157.1641388,dorsal rim of pronotal plate
HAO:0002285,119.5737839,-58.19747925,157.1641388,scutellar rim
HAO:0002284,109.5737839,-58.19747925,157.1641388,propodeo-second abdominal segment muscle
HAO:0002283,99.57378387,-58.19747925,157.1641388,anteroventral foramen of metapleuron
HAO:0002282,89.57378387,-58.19747925,157.1641388,anteroventral depression of pronotum
HAO:0002281,79.57378387,-58.19747925,157.1641388,anterior part of pronotal plate
HAO:0002280,69.57378387,-58.19747925,157.1641388,posterolateral mesoscutellar carina
HAO:0002279,59.57378387,-58.19747925,157.1641388,posterolateral mesoscutellar area
HAO:0002278,49.57378387,-58.19747925,157.1641388,posterior mesoscutellar carina
HAO:0002277,39.57378387,-58.19747925,157.1641388,posterior mesoscutellar area
HAO:0002276,29.57378578,-58.19747925,157.1641388,mesosoma height
HAO:0002275,149.5737915,-68.19747925,157.1641388,head+mesosoma length
HAO:0002274,139.5737915,-68.19747925,157.1641388,head+mesosoma length
HAO:0002273,129.5737915,-68.19747925,157.1641388,proximodistal anatomical line
HAO:0002272,119.5737839,-68.19747925,157.1641388,median anatomical line
